sku,total,lines_json
"A-AZ РАЗНОЕ",170776,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":179042},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":-8266}]"
"A-P2644E-GOLD 91",13,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":8},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":5}]"
"A-P9610-GOLD 91",27,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":14},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":13}]"
BR-XPGB#50,4,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":3},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
BR-XPGB#850,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
BV-00005456,7068,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":2014},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":5054}]"
CL-134254C,3,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":1},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
CL-93415C-R,7,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":7},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CL-93415C-R4,36,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":24},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":12}]"
CL-960167CR,58,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":52},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":6}]"
CL-960167CR4,46,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":23},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":23}]"
CL-960170CR,146,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":116},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":30}]"
CL-960170CR4,51,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":27},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":24}]"
CL-960174CR,18,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":15},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
CL-960174CR4,39,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":19},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":20}]"
CL-960180CR,29,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":26},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
CL-960182CR4,27,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":9},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":18}]"
CL-960183CR,14,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":12},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
CL-960184CR4,12,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":7},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":5}]"
CL-960185CR,38,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":30},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":8}]"
CL-960186CR4,31,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":17},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":14}]"
CL-960187CR,26,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":23},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
CL-960189CR4,40,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":23},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":17}]"
CL-96097CR,10,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":9},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
CL-96184C,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
CL-96387CR,43,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":26},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":17}]"
CL-975168C,6,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":5},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
CL-975520CR3,27,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":23},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":4}]"
CL-975910C,12,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":10},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
CR-CE0860056085,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0860056100,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0860056200,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
CR-CE0860056460,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0860056475,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0870056059,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0870056080,22,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":19},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
CR-CE0870056167,15,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":12},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
CR-CE0870056169,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0880056010,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0880056637,15,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":12},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
CR-CE0880056807,21,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":18},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
CR-CE0880250010,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0900030200,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0900030400,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0900030611,16,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":9},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":7}]"
CR-CE0900030700,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0900030900,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0900056027,-12,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":-6},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":-6}]"
CR-CE0900056100,-1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":-1}]"
CR-CE0900056150,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0900056212,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0900056214,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0900056246,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0900056423,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0900056425,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0900056428,21,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":18},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
CR-CE0900056463,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0900056475,40,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":37},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
CR-CE0900056645,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0900056730,20,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":17},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
CR-CE0900056747,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0900250027,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0910030050,152,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":92},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":60}]"
CR-CE0910030420,263,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":213},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":50}]"
CR-CE0920056005,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0920056010,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0920056024,2,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":2}]"
CR-CE0920056050,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0920056080,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0920056474,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0920056620,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0920056721,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0920056900,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0920250005,-21,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":-10},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":-11}]"
CR-CE0930030700,65,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":44},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":21}]"
CR-CE0950500425,0,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":0}]"
CR-CE0950500807,6,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":3},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":3}]"
CR-CE0950500808,1,"[{""ok"":true,""term_id"":3942,""slug"":""kiev1"",""qty"":0},{""ok"":true,""term_id"":3943,""slug"":""odesa"",""qty"":1}]"
