sku,post_title,tax_product_cat
CR-CE0900056027,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;БІЛИЙ УКРИВИСТИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056045,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ШАМПАНСЬКЕ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056100,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ЧОРНИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056150,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;СІРИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056200,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;БЛАКИТНИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056211,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;КАРИБСЬКИЙ БЛАКИТНИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056212,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;БЛАКИТНИЙ БАРВИНОК","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056214,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;НЕБЕСНО-БЛАКИТНИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056230,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ЛАЗУРНИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056246,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;МОРСЬКИЙ БЛАКИТНИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056280,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ТУРЕЦЬКИЙ БЛАКИТНИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056400,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ЧЕРВОНИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056411,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;БОРДО","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056420,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;КАРМІН","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056423,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ПЕРСИКОВИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056425,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ТІЛЕСНИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056428,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ЧЕРВОНИЙ МАКОВИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056463,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;РІЗДВЯНИЙ ЧЕРВОНИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056475,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;РОЖЕВИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056476,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;АНГЛІЙСЬКА ТРОЯНДА","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056481,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ПОЛУНИЧНИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056600,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ЗЕЛЕНИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056601,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ЗЕЛЕНИЙ АНІСОВИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056611,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ЗЕЛЕНИЙ СВІТЛИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056620,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;СМАРАГДОВИЙ ЗЕЛЕНИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056645,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ОЛИВКОВИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056652,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ЗЕЛЕНИЙ ЛИШАЙНИК","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056662,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;СОСНОВИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056676,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;БІРЮЗОВИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056700,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ЖОВТИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056730,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ВАНІЛЬНИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056739,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;КЕКС","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056746,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ОХРА ЖОВТА","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056747,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;САХАРА","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056752,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ОРАНЖЕВИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056800,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;КОРИЧНЕВИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056812,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;СИЗИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056900,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ФІОЛЕТОВИЙ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056922,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;ФУКСІЯ","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
CR-CE0900056941,"Полімерний моделін ""CERNIT NUMBER ONE"" 56гр;МАЛЬВА","Скульптура > Пластич.маси термозакріплюв. > Cernit > 56гр > Полімерний моделін ""CERNIT NUMBER ONE"" 56гр"
